Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9713,Rocket League,XOne,Sports,505 Games,0.03,0.09,0,0.01,0.12
9813,Gundam Breaker 3,PSV,Action,Namco Bandai Games,0,0,0.12,0,0.12
9880,7 Days to Die,PS4,Action,Telltale Games,0.03,0.07,0,0.02,0.12
9900,Hatsune Miku: Project Diva X,PSV,Misc,Sega,0.01,0,0.1,0,0.12
9902,Assassin's Creed Chronicles,PSV,Action,Ubisoft,0.02,0.06,0.01,0.02,0.12
9906,Dragon Quest Builders: Revive Alefgard,PS3,Role-Playing,Square Enix,0,0,0.12,0,0.12
9911,Etrian Odyssey V,3DS,Role-Playing,Atlus,0,0,0.12,0,0.12
9924,Yakuza Kiwami,PS3,Adventure,Sega,0,0,0.12,0,0.12
9995,Dead Island Definitive Collection,PS4,Action,Deep Silver,0.02,0.07,0.01,0.02,0.12
10040,DiRT Rally,XOne,Racing,Codemasters,0.03,0.08,0,0.01,0.11
10042,UEFA Euro 2016,PS3,Sports,Konami Digital Entertainment,0,0.08,0.02,0.01,0.11
10049,Life is Strange,XOne,Adventure,Square Enix,0.08,0.02,0,0.01,0.11
10158,Jikkyou Powerful Pro Baseball 2016,PS3,Sports,Konami Digital Entertainment,0,0,0.11,0,0.11
10233,Tales of Berseria,PS3,Role-Playing,Namco Bandai Games,0,0,0.11,0,0.11
10266,One Piece: Burning Blood,PSV,Fighting,Namco Bandai Games,0,0.03,0.07,0.01,0.11
10285,Digimon Story: Cyber Sleuth,PS4,Role-Playing,Namco Bandai Games,0,0.09,0,0.02,0.11
10365,Lego Star Wars: The Force Awakens,X360,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0,0.01,0.11
10395,Toukiden 2,PSV,Action,Tecmo Koei,0,0,0.11,0,0.11
10593,Total War: WARHAMMER,PC,Strategy,Sega,0,0.1,0,0.01,0.1
10733,Rise of the Tomb Raider,PC,Adventure,Square Enix,0,0.09,0,0.01,0.1
10735,Persona 5,PS3,Role-Playing,Unknown,0,0,0.1,0,0.1
10816,ReCore,XOne,Action,Microsoft Game Studios,0.06,0.03,0,0.01,0.1
10829,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,Action,Namco Bandai Games,0,0,0.09,0,0.09
10846,Gundam Breaker 3,PS4,Action,Namco Bandai Games,0,0,0.09,0,0.09
10854,The King of Fighters XIV,PS4,Fighting,Deep Silver,0.04,0.01,0.03,0.01,0.09
10891,Digimon World: Next Order,PSV,Action,Namco Bandai Games,0,0,0.09,0,0.09
10914,Lego Star Wars: The Force Awakens,PSV,Action,Warner Bros. Interactive Entertainment,0.02,0.05,0,0.02,0.09
10956,The Idolmaster: Platinum Stars,PS4,Simulation,Namco Bandai Games,0,0,0.09,0,0.09
11012,Disney Art Academy,3DS,Action,Nintendo,0.01,0.01,0.07,0,0.09
11067,Super Robot Wars OG: The Moon Dwellers,PS4,Misc,Namco Bandai Games,0,0,0.09,0,0.09
